"site","Genus","Species","C13","N15","comments"
"MS-1","Eulimnogammarus","verrucosus",-15.06,7.09,""
"BGO-1","Pallasea","cancellus",-11.7,7.53,"C13 outside range of standards"
"BGO-1","Eulimnogammarus","verrucosus",-14.29,6.63,""
"BGO-2","Pallasea","cancellus",-12.89,7.22,"C13 outside range of standards"
"LI-1","Eulimnogammarus","verrucosus",-15.1,7.44,""
"BGO-1","Eulimnogammarus","vittatus",-14.03,7.01,""
"EM-1","Eulimnogammarus","vittatus",-13.52,7.35,""
"SM-1","Eulimnogammarus","vittatus",-14.18,7.35,""
"BK-2","Pallasea","cancellus",-12.18,7.33,"C13 outside range of standards"
"SM-1","Eulimnogammarus","verrucosus",-13.71,7.07,""
"SM-1","Eulimnogammarus","verrucosus",-13.72,7.77,""
"BGO-2","Eulimnogammarus","verrucosus",-13.9,6.42,""
"MS-1","Eulimnogammarus","vittatus",-13.59,6.79,""
"BGO-1","Periphyton",NA,-11.06,3.62,"C13 outside range of standards"
"EM-1","Periphyton",NA,-14.53,2.14,""
"BGO-2","Periphyton",NA,-20.21,0.77,""
"BK-2","Periphyton",NA,-12.62,3.76,"C13 outside range of standards"
"SM-1","Periphyton",NA,-14.32,1.72,""
"MS-1","Eulimnogammarus","cyaneus",-18.9,7.4,""
"SM-1","Eulimnogammarus","cyaneus",-16.54,7.92,""
"EM-1","Eulimnogammarus","cyaneus",-13.94,7.66,""
"EM-1","Eulimnogammarus","cyaneus",-14.08,7.7,""
