"site","Microplastic_mean_density_microplastics_per_L","Microplastic_sd_density_microplastics_per_L","Fragment_mean_density_microplastics_per_L","Fragment_sd_density_microplastics_per_L","Fiber_mean_density_microplastics_per_L","Fiber_sd_density_microplastics_per_L","Bead_mean_density_microplastics_per_L","Bead_sd_density_microplastics_per_L"
"BGO-1",0.00119047619047619,0.000824786098842323,0.00119047619047619,0.000824786098842323,0,0,0,0
"BGO-2",0.00214285714285714,0.0031134992453862,0.000238095238095238,0.000412393049421161,0.0019047619047619,0.0027042420694287,0,0
"BGO-3",0,0,0,0,0,0,0,0
"BK-1",0.000833333333333333,0.00166666666666667,0,0,0.000833333333333333,0.00166666666666667,0,0
"BK-2",0.00142857142857143,0.00123717914826348,0.000952380952380952,0.00109108945117996,0.000476190476190476,0.000824786098842322,0,0
"BK-3",0.00428571428571429,0.00123717914826348,0.0030952380952381,0.00179757962744542,0.00119047619047619,0.00109108945117996,0,0
"EM-1",0.000238095238095238,0.000412393049421161,0,0,0.000238095238095238,0.000412393049421161,0,0
"KD-1",0.000476190476190476,0.000412393049421161,0,0,0.000476190476190476,0.000412393049421161,0,0
"KD-2",0.00261904761904762,0.000824786098842322,0.000714285714285714,0.00123717914826348,0.0019047619047619,0.000412393049421161,0,0
"LI-1",0.00476190476190476,0.00109108945117996,0.00380952380952381,0.00148690428533295,0.000238095238095238,0.000412393049421161,0.000714285714285714,0.000714285714285714
"LI-2",0.00261904761904762,0.00109108945117996,0.00142857142857143,0.000714285714285714,0.00119047619047619,0.00109108945117996,0,0
"LI-3",0.00119047619047619,0.000412393049421161,0.000476190476190476,0.000824786098842322,0,0,0.000714285714285714,0.000714285714285714
"MS-1",0.000238095238095238,0.000412393049421161,0,0,0.000238095238095238,0.000412393049421161,0,0
"OS-1",0.00238095238095238,0.00148690428533295,0.00238095238095238,0.00148690428533295,0,0,0,0
"OS-2",0.00214285714285714,0.00188982236504614,0.000238095238095238,0.000412393049421161,0.0019047619047619,0.00164957219768464,0,0
"OS-3",0.00214285714285714,0.000714285714285714,0,0,0.00214285714285714,0.000714285714285714,0,0
"SM-1",0.00166666666666667,0.00179757962744542,0,0,0.00166666666666667,0.00179757962744542,0,0
